time,close,CVD (Apertura),CVD (Máximo,CVD (Mínimo),CVD (Cerrar),OnBalanceVolume,MFI,Signal,Histogram,MFI/Signal Crossover,MFI/Signal Crossunder,Plot,Plot,EMA of vfi,vfi
1772808620,670.49,-277387,-276710,-279356,-279356,-1925984,67.95562378653904,72.16214373079133,,,,0,,0.4742874227084911,-0.08565413594423797
1772808630,671.04,-279356,-275882,-279356,-276121,-1921365,67.316575272465,71.19303003912606,,,,0,,0.45109393940157716,0.4047069727877492
1772808640,670.92,-276121,-274821,-277361,-277346,-1928198,70.95481034528719,71.14538610035828,,,,0,,0.6701250013181238,1.1081871251512172
1772808650,671.07,-277346,-276320,-280812,-280122,-1918966,70.65370694146416,71.04705026857945,,,,0,,1.077014776845193,1.8907943278993313
1772808660,671.53,-280122,-273575,-280122,-275655,-1907169,71.72691986626903,71.18302418811737,,71.72691986626903,,0,,1.7621818304144656,3.132515937553011
1772808670,671.97,-275655,-270625,-277729,-271593,-1894047,70.22440429111225,70.99130020871635,,,70.22440429111225,0,,2.655544468129889,4.442269743560736
1772808680,671.77,-271593,-271593,-275230,-271919,-1903015,68.75955381663978,70.54495093030104,,,,0,,3.5335209826213614,5.289474011604307
1772808690,671.78,-271919,-270911,-275469,-274243,-1891345,68.41104942193597,70.11817062862802,,,,0,,3.6597519510261116,3.9122138878356125
1772808700,672,-274243,-270033,-274587,-270033,-1885205,68.06233838845935,69.70700418059428,,,,0,,3.9952478681703534,4.666239702458837
1772808710,671.77,-270033,-270033,-274061,-274061,-1889435,63.138815179652326,68.3933663804059,,,,0,,4.165858002127088,4.507078270040556
1772808720,671.21,-274061,-274061,-287090,-287090,-1906126,56.68426399382521,66.05154590308976,,,,0,,3.64702458916683,2.609357763246314
1772808730,671.2,-287090,-286560,-290164,-289174,-1912300,56.4157054043607,64.12437780334395,,,,0,,3.199886362005134,2.3056099076817422
1772808740,671.19,-289174,-285913,-291291,-285913,-1919795,50.39057094165225,61.377616431005606,,,,0,,2.7851792251481666,1.9557649514342317
1772808750,670.89,-285913,-285913,-289456,-287846,-1925042,51.67426521132718,59.43694618706992,,,,0,,2.4717792983207962,1.8449794446660552
1772808760,671.27,-287846,-284914,-288299,-286333,-1919245,56.35648354169629,58.820853657995194,,,,0,,2.639767493580249,2.9757438840991544
1772808770,671.17,-286333,-286333,-291252,-289520,-1926336,57.25229253542421,58.507141433480996,,,,0,,2.5873702344036924,2.4825757160505786
1772808780,671.141,-289520,-287619,-289890,-287793,-1931747,52.20016084218073,57.245745315220944,,,,0,,2.168960613626157,1.3321413720710868
1772808790,671.341,-287793,-285683,-287793,-285827,-1928279,49.770484574283266,55.75069316703341,,,,0,,2.2147678338942995,2.3063822744305846
1772808800,670.73,-285827,-285827,-294533,-294533,-1938511,39.913005307159466,52.58315559505862,,,,0,,2.0132696384835196,1.6102732476619597
1772808810,670.95,-294533,-292879,-294533,-292959,-1935451,30.953292340776102,48.257182944202114,,,,0,,2.0779238809569094,2.207232365903689
1772808820,670.9,-292959,-291794,-292959,-291794,-1938582,23.476354548890356,43.30101726513976,,,,0,,2.3329745296482227,2.843075827030849
1772808830,670.82,-291794,-291794,-293795,-293731,-1940731,26.068684238703355,39.85455065985248,,,,0,,2.691194224809184,3.407633615131106
1772808840,670.81,-293731,-291910,-293731,-292856,-1943800,23.334075318692385,36.55045559162046,,,,0,,3.150157522134131,4.068084116784026
1772808850,670.79,-292856,-290231,-292856,-290945,-1947221,27.713254746521855,34.78301542260074,,,,0,,3.2606018291537056,3.481490443192854
1772808860,671.06,-290945,-289085,-291691,-290953,-1941647,39.85148708146874,35.79670975437434,,39.85148708146874,,0,,3.318556197644929,3.434464934627376
1772808870,671.02,-290953,-287882,-290953,-288292,-1948742,49.16569094090121,38.470505991679715,,,,0,,3.3941877519637447,3.545450860601376
1772808880,670.89,-288292,-288292,-293477,-293477,-1954527,50.35893136489983,40.848191066323736,,,,0,,3.464895359482667,3.606310574520512
1772808890,670.75,-293477,-293190,-294451,-294451,-1957277,52.20765025521019,43.120082904101025,,,,0,,3.2064961605608993,2.6896977627173633
1772808900,670.64,-294451,-293568,-296806,-296726,-1963840,43.20152059788647,43.136370442858116,,,,0,,2.5448601673721787,1.2215881809947375
1772808910,670.62,-296726,-294822,-296726,-295663,-1967597,40.305465765649295,42.57018950741635,,,40.305465765649295,0,,2.103824066866844,1.2217518658561752
1772808920,670.77,-295663,-294482,-295912,-294482,-1965274,46.025500925506975,43.261251791034475,,46.025500925506975,,0,,2.065247074445097,1.988093089601603
1772808930,670.67,-294482,-290298,-294482,-290298,-1972618,38.09766146001082,42.228533724829745,,,38.09766146001082,0,,2.3049443772151688,2.7843389827553118
1772808940,670.61,-290298,-287795,-290298,-287869,-1976185,42.36052299411245,42.25493157868629,,42.36052299411245,,0,,2.329737836645966,2.37932475550756
1772808950,670.54,-287869,-286782,-288385,-288385,-1980363,41.58146776505571,42.12023881596017,,,41.58146776505571,0,,2.3505373262060347,2.3921363053261717
1772808960,670.4,-288385,-288385,-292110,-291301,-1985839,40.037469923106066,41.70368503738935,,,,0,,2.1574935133541793,1.7714058876504677
1772808970,670.38,-291301,-290242,-291704,-290932,-1990990,46.01411413511849,42.565770856935174,,46.01411413511849,,0,,2.2265811526898283,2.3647564313611267
1772808980,670.48,-290932,-290587,-291269,-290727,-1989651,44.561017716592296,42.9648202288666,,,,0,,2.205965700785771,2.1647347969776565
1772808990,670.2,-290727,-290727,-296817,-296817,-1995901,37.59091086502924,41.890038356099126,,,37.59091086502924,0,,1.6733127528263139,0.6080068569073989
1772809000,670.28,-296817,-296013,-296825,-296097,-1994791,33.14355211572659,40.14074110802462,,,,0,,1.604022659874915,1.4654424739721172
1772809010,670.49,-296097,-291948,-296097,-292248,-1990168,30.392163318365576,38.19102555009281,,,,0,,2.047599736835023,2.934753890755239
1772809020,670.39,-292248,-288366,-292248,-289691,-1997051,41.074593851957154,38.76773921046568,,41.074593851957154,,0,,2.9302716059645713,4.695615344223667
1772809030,670.57,-289691,-289691,-291698,-291064,-1993912,45.90363148025939,40.19491766442442,,,,0,,3.964811536907928,6.033891398794641
1772809040,670.7,-291064,-287485,-291064,-288422,-1987550,56.40025254777147,43.43598464109383,,,,0,,5.264425731617316,7.8636541210360935
1772809050,670.46,-288422,-287313,-290653,-288906,-1995132,47.34588396434374,44.217964505743815,,,,0,,5.495959386825567,5.959026697242068
1772809060,670.46,-288906,-288105,-289348,-288592,-1995132,42.9847500970127,43.97132162399759,,,42.9847500970127,0,,5.878940046755534,6.644901366615468
1772809070,670.45,-288592,-280690,-289260,-281255,-2007745,39.83274472117807,43.14360624343369,,,,0,,6.506472999892775,7.7615389061672575
1772809080,670.31,-281255,-280741,-286415,-286415,-2014167,38.310848676155686,42.17705472997809,,,,0,,6.278313521411881,5.82199456445009
1772809090,670.45,-286415,-286415,-289083,-288843,-2009295,44.42267277051026,42.62617833808452,,44.42267277051026,,0,,5.941632221082637,5.2682696204241495
1772809100,670.55,-288843,-284976,-288843,-284976,-2003872,51.65413494423128,44.43176965931387,,,,0,,6.194295010517368,6.699620589386829
1772809110,670.56,-284976,-284976,-288113,-286873,-1999379,51.22854235046986,45.79112419754507,,,,0,,6.856829634734961,8.181898883170147
1772809120,670.451,-286873,-286868,-287135,-286949,-2000167,49.80261427664457,46.59342221336497,,,,0,,7.274375410573028,8.109466962249163
1772809130,670.08,-286949,-286949,-299160,-298839,-2013019,45.73064282176339,46.42086633504465,,,45.73064282176339,0,,6.716398124623994,5.600443552725925
1772809140,669.96,-298839,-296790,-390298,-388697,-2112121,20.0400058971493,41.14469424746558,,,,0,,5.192929370006145,2.1459918607704482
1772809150,670.1,-388697,-385573,-391401,-387212,-2101778,22.518200960166,37.419395590005664,,,,0,,4.362626615042052,2.7020211051138636
1772809160,670.63,-387212,-381932,-387372,-382309,-2095213,22.384337320222073,34.41238393604895,,,,0,,4.284220376694122,4.1274078999982615
1772809170,670.81,-382309,-377687,-382309,-377687,-2087329,24.336581613113182,32.39722347146179,,,,0,,4.798995391848528,5.828545422157341
1772809180,671.17,-377687,-375499,-377848,-375568,-2084040,23.084784138323798,30.534735604834193,,,,0,,4.932639133929941,5.199926618092765
1772809190,670.88,-375568,-375568,-377756,-377756,-2087330,23.63075070031337,29.153938623930028,,,,0,,4.905703139734878,4.8518311513447525
1772809200,671.68,-377756,-374052,-379677,-374052,-2075210,28.950309362954442,29.11321277173491,,,,0,,4.98678355473905,5.148944384747394
1772809210,672.55,-374052,-363226,-374052,-363226,-2056674,37.55158297687967,30.800886812763864,,37.55158297687967,,0,,6.055799289610833,8.193830759354398
1772809220,672.61,-363226,-356550,-363226,-359017,-2041441,43.38831431016007,33.318372312243106,,,,0,,6.989971751336037,8.858316674786446
1772809230,672.28,-359017,-355671,-361920,-361920,-2051998,39.89657206418457,34.6340122626314,,,,0,,6.924202845957199,6.792665035199523
1772809240,672.34,-361920,-356600,-361920,-356600,-2042952,36.68535193201206,35.044280196507536,,,,0,,6.934845021017254,6.956129371137364
1772809250,672.19,-356600,-355791,-357420,-357420,-2045500,35.32869367712867,35.10116289263176,,,,0,,6.504690027676551,5.644380040995146
1772809260,672.54,-357420,-355307,-358182,-355974,-2037366,37.88774688321197,35.658479690747804,,,,0,,6.877243663801384,7.622350936051049
1772809270,672.67,-355974,-354710,-356570,-354924,-2034310,41.15442374244199,36.75766850108664,,,,0,,6.951922386999833,7.101279833396732
1772809280,672.26,-354924,-354800,-358214,-358093,-2038165,76.0833903320566,44.62281286728063,,,,0,,7.060347448102539,7.277197570307952
1772809290,672.31,-358093,-357254,-358705,-358302,-2034490,71.08154544978183,49.91455938378087,,,,0,,7.2299112376024075,7.569038816602143
1772809300,672.33,-358302,-357069,-358302,-357538,-2031808,69.97848353604056,53.927344214232804,,,,0,,6.861298951288728,6.124074378661369
1772809310,672.22,-357538,-357379,-359825,-359265,-2036729,64.07803794675908,55.95748296073806,,,,0,,6.0155240362212545,4.323974206086307
1772809320,672.52,-359265,-357424,-360084,-360084,-2031732,64.69403952617466,57.704794273825385,,,,0,,5.449795924061632,4.318339699742386
1772809330,672.94,-360084,-356906,-361395,-361395,-2021819,69.96598767718916,60.15703295449814,,,,0,,5.454661184233677,5.464391704577769
1772809340,672.69,-361395,-361395,-362435,-362435,-2024705,64.16600865358711,60.95882809431593,,,,0,,5.871153380663777,6.704137773523976
1772809350,672.6,-362435,-360179,-363575,-363575,-2031335,51.43735554349292,59.05453358415133,,,51.43735554349292,0,,6.469459929754635,7.66607302793635
1772809360,672.79,-363575,-362512,-363575,-363004,-2029780,42.197579341463985,55.68314273561386,,,,0,,6.706445624324611,7.180417013464564
1772809370,672.86,-363004,-361455,-363238,-363000,-2025034,53.08863875347537,55.16424193918616,,,,0,,6.8680417475444075,7.191233993984
1772809380,672.34,-363000,-361914,-366724,-362195,-2034905,52.432163418676744,54.61782623508428,,,,0,,6.785648492596021,6.620861982699247
1772809390,672.465,-362195,-359032,-362195,-359032,-2027638,47.29732768506945,53.15372652508131,,,,0,,6.434276811921064,5.731533450571152
1772809400,672.47,-359032,-355336,-359527,-355757,-2021387,37.2804883303075,49.97907888612655,,,,0,,5.618157240564157,3.9859180978503423
1772809410,672.38,-355757,-354669,-356666,-356566,-2025158,37.89362743494107,47.56198859588945,,,,0,,4.897206557550571,3.4553051915233977
1772809420,672.53,-356566,-354977,-358188,-358188,-2020030,44.146059642674814,46.87880280524652,,,,0,,4.957663705563175,5.078578001588384
1772809430,672.37,-358188,-356206,-358691,-356916,-2025042,43.365525777939595,46.17614739978514,,,,0,,5.065649750096715,5.281621839163794
1772809440,672.33,-356916,-352780,-356916,-353184,-2030478,38.421641413955115,44.62524620261913,,,,0,,4.908145232179954,4.593136196346432
1772809450,672.12,-353184,-353176,-354046,-353176,-2033544,39.3528083514513,43.57075863238556,,,,0,,4.579227106886316,3.9213908562990425
1772809460,672.28,-353176,-351501,-354240,-354240,-2028930,39.04631505186062,42.66586991628057,,,,0,,4.641972950592492,4.767464638004843
1772809470,672.45,-354240,-354240,-355158,-354393,-2027165,31.737435956056046,40.480183124235666,,,,0,,4.514573436797622,4.259774409207882
1772809480,672.62,-354393,-353527,-354797,-354251,-2024525,35.749990977601115,39.534144694908754,,,,0,,4.002553408791348,2.9785133527788004
1772809490,672.84,-354251,-353091,-355047,-353091,-2020621,43.25475739994947,40.2782672359169,,43.25475739994947,,0,,3.4288308156342486,2.2813856293200487
1772809500,672.35,-353091,-349178,-353510,-349399,-2029159,36.89944995264367,39.60250377926226,,,36.89944995264367,0,,2.0455764330729713,-0.7209323320495838
1772809510,672.43,-349399,-347390,-349549,-348107,-2024529,30.35506334107407,37.75301569162462,,,,0,,0.9306906531557149,-1.299080906678798
1772809520,672.03,-348107,-347736,-351602,-351602,-2028896,32.87263379578923,36.77693931245754,,,,0,,0.20151933710034753,-1.2568232950103873
1772809530,671.95,-351602,-351602,-367309,-366295,-2047093,28.230955544911993,35.06774255894843,,,,0,,-0.3569828967350235,-1.4739873644057655
1772809540,671.84,-366295,-366295,-368443,-366588,-2051256,29.016054232420785,33.8574048936429,,,,0,,-1.375116908733669,-3.41138493273096
1772809550,672.11,-366588,-366588,-369202,-368168,-2045900,30.47817165443601,33.181558245801526,,,,0,,-1.732388369980362,-2.446931292473748
1772809560,672.2,-368168,-368080,-368504,-368143,-2044989,26.437700205517288,31.83278663774468,,,,0,,-1.6344948154073204,-1.4387077062612372
1772809570,672.78,-368143,-366749,-368592,-366749,-2041929,31.501777938601705,31.766584897916083,,,,0,,-1.2277398033620135,-0.41422977927139926
1772809580,672.68,-366749,-365383,-368338,-365383,-2047195,39.05354550839266,33.2239770200114,,39.05354550839266,,0,,-0.7358440384341914,0.24794749142145278
1772809590,672.52,-365383,-364942,-365706,-365706,-2048600,39.99543569677027,34.57826875536317,,,,0,,0.0401031874337382,1.5919976391695976
1772809600,672.72,-365706,-364667,-365888,-364667,-2046417,37.79889746985711,35.222394498261956,,,,0,,1.353993918318586,3.9817753800882825
